id,Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
g6s783455x,67,CE-YUC-180124-003,Proponer la modificación de formatos para reporte mensual de Ventanillas,MVZ. Jose Joaquin Peral Rodríguez,45309,45329,Cumplido,14va Ordinaria
g955dj6ohy,104,YUC/18-ENE-25/CESO-010,"Se realizarán tres sesiones ordinarias en el 2025, llevándose a cabo el último viernes del mes de abril, julio y noviembre.",Todos los integrantes,45675,Permanente,Cumplido,18va Ordinaria
gqtaor1pk0,30,CE-YUC-020323-007,Actualización del convenio de colaboración REEMO entre las Uniones
Ganaderas Regionales y el Gobierno del Estado.,Dr. Roger Díaz,44987,45020,cumplido,4ta Ordinaria
gxgq8fuv82,18,CE-YUC-020223-002,"Se pondrá a disposición de la mesa la propuesta de lona publicitaria, donde se establezcan los servicios y costos de los mismos en cada Espacio de Atención.",MVZ. Francis A. Genovez Chanona,44959,44960,cumplido,3ra Ordinaria
gxkwh5v4a3,36,CE-YUC-040423-005,"Atención de la queja presentada por Eduardo J. Ándres Gonzalez, consiste en la validación de reseña de 48 identificadores bovinos en sistema.",MVZ. Ángel M. Castillo Camal,45020,45027,Cumplido,5ta Ordinaria
h00o0eojjg,89,YUC/20-SEPT-24/CESO-001,"Se agregará en la dispositiva “Reportes Enero - Agosto de los Servicios del PGN – SINIIGA.”, el reporte de bovinos por etapa productiva; 18° Sesión ordinaria CONCLUIDO (se presentó un informe general por parte de la Ventanilla centro)",MVZ. Francis A. Genovez Chanona,45555,45675,Cumplido,17va Ordinaria
h8vepcy60n,82,YUC/11-JUL-24/CESO-001,"Adecuar la tabla de identificadores entregados, devueltos (Atención de solicitudes de identificadores) VAS Centro",MVZ. Francis Genovez Chanona,45484,45555,Cumplido,16va Ordinaria
hebn5lpv1u,73,YUC/07-FEB-24/CESO-001,"Los integrantes del Consejo se dan por enterados de la Circular N°B00.02.-005-2024 emitida por la Dirección General de Salud Animal, así como, de los Lineamientos firmados el 19 de enero de 2024 y publicados en las páginas electrónicas de AGRICULTURA y SENASICA el 23 de enero de 2024.",Todos los integrantes,45329,45329,Cumplido,3ra Extraordinaria
i6ul1r7fim,60,CE-YUC-071223-002,reunión extraordinaria a las 17:00 horas para tratar avance de barrido.,Jefes de Ventanilla,45267,45278,Cumplido,13va Ordinara
