id,Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
qi8ofuhl0i,12,01-III-230524,Informar la agenda de visitas de SENASICA al estado de Yucatán con adecuaciones correspondientes.,MVZ. José Joaquín Peral Rodríguez (SENASICA),45435,45438,Completado,Tercera Ordinaria
qkew8hrktm,52,07-X-140225,Gobierno del estado emitirá comunicado sobre disposiciones de SENASICA para movilización y pruebas.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45702,45716,Pendiente,Décima Ordinaria
rpmx5zpya1,13,02-III-230524,Revisar los avances a las recomendaciones críticas de APHIS-USDA.,Ing. Abigail Estrada Estrada (SADER),45435,45443,Completado,Tercera Ordinaria
rqa92m4rl7,35,03-VII-090724,Programar coordinación previa para 22/07/2025.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45482,45857,Pendiente,Septima Ordinaraia
rtkd1y20p3,19,04-IV-070624,Implementar certificado de propiedad con Uniones Ganaderas para certificar origen del ganado antes de movilización.,Dr. Roger Armando Díaz Mendoza (UGRY),45450,45518,En Progreso,Cuarta Ordinaria
sb490essdh,14,03-III-230524,Las Uniones Ganaderas atenderán las pruebas CFT para ganado que sale del estado conforme mejoren las condiciones climáticas y se acuerden mecanismos con el gobierno estatal.,Dr. Roger Armando Díaz Mendoza (UGRY),45435,46022,En Progreso,Tercera Ordinaria
skwnu0rbjh,37,02-VIII-160724,Actualizar presentaciones con referencias temporales.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45489,,Pendiente,Octava ORdinaria
sv91o4nmla,83,03-XVII-260825,"Entregar las tres agendas finales con solventaciones a observaciones (e.g., de Documento A.a y Supplemental info request) a más tardar el 21 de septiembre de 2025. Responsable: Dr. Roger Armando Díaz Mendoza (UGRY/CEFPPY). Plazo: 21 de septiembre de 2025.",Dr. Roger Armando Díaz Mendoza ,45895,45921,En Progreso,Décima séptima Ordinaria
sy2fklhgke,81,01-XVII-260825,"Finalizar el 10% pendiente de información en el Excel de entregables (incluyendo listas de cuarentenas, muestras de granulomas y tasas de MVZ) y enviarlo a SENASICA antes del 29 de agosto de 2025. Responsable: MVZ Victor Manuel Calderón Jiménez (SENASICA). Plazo: 28 de agosto de 2025.",MVZ Victor M. Calderon,45895,45897,En Progreso,Décima séptima Ordinaria
tgyfm63cps,68,04-XIII-170725,Programar reunión de coordinación previa a la visita de pre-certificación de SENASICA para el 22/07/2025 a las 17:00 horas.,Ing. Dámaso Pech Uc (SEDER),45849,45854,Pendiente,Treceava Ordinaria
u0ieabifmn,82,02-XVII-260825,"Preparar propuestas de agenda para discusión en la semana del 15 de septiembre de 2025, incorporando sitios como Mario José Gamboa (Dzonot Carretero) para el 1 de diciembre, y otros pendientes (e.g., corrales de engorda y hatos epidemiológicos). Responsable:MVZ Victor Manuel Calderón Jiménez (SENASICA). Plazo: 12 de septiembre de 2025.",MVZ Victor M. Calderon,45895,45912,En Progreso,Décima séptima Ordinaria
upg9zd6y1o,6,06-I-060524,Revisar mecanismos de SINIIGA para agilizar la identificación de animales y el barrido zoosanitario.,MVZ Francis A. Genovés Chanona (SINIIGA),45418,45456,Pendiente,Primera Ordinaria
ur2v86k1gi,8,01-II-130524,Proponer agenda de visita de SENASICA del 27 al 31 de mayo de 2024 conforme al programa anexo.,MVZ. José Joaquín Peral Rodríguez (SENASICA),45425,45427,Completado,Segunda Ordinaria
ur4bee0qg9,42,04-IX-230724,Enviar actas a SINIIGA para suspensión UPPs.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45496,45731,En Progreso,Novena Ordinaria
v1pzyfxuvs,31,04-VI-020724,Implementar Google Drive para tareas.,Ing. Abigail Estrada Estrada (SADER),45475,45499,Pendiente,Sexta Ordinaria
v2g8cargtk,50,05-X-140225,UPP's suspendidas deberán presentar prueba de tuberculina negativa para reactivarse.,En Progreso,45702,,"Apoya recomendación APHIS de suspensión UPP (Yucatán Observ,p.2).",Décima Ordinaria
w17dw4l9z5,7,07-I-060524,Elaborar y validar agenda para la visita de SENASICA enviándola con la cédula de avances a la Dirección General de Salud Animal.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45418,45427,Completado,Primera Ordinaria
wkjm6ugi59,62,03-XII-190625,SEDER elaborará plan de visitas técnicas a Grupo Agropecuario Opchén y comunicará al grupo de trabajo.,Dr. Moisés Abraham Martín Sima (SEDER),45827,45853,Pendiente,Duodécima Ordinaria
x7o6t2n5ql,74,02-XV-080825,"Actualizar las presentaciones estatales con puntos de referencia temporal para todas las cifras (e.g., periodos específicos para rastreabilidad y tasas de envío).",Ing. Juan Carlos Rodríguez Andrade (SEDER),45877,,Pendiente,Décima quinta Ordinaria
xyhea2dpcg,72,04-XIV-240725,Programar una reunión de coordinación previa a la visita de pre-certificación de SENASICA para el martes 29 de julio de 2025 a las 12:00 horas.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45862,45867,Pendiente,Décimacuarta Ordinaria
xyygj8zn8m,22,01-V-180624,"Aprobar el avance del barrido en municipios orientales con 5,130 hatos y 207,148 cabezas.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45461,,Completado,Quinta Ordinaria
y33cjdgxhi,16,01-IV-070624,SINIIGA dará de baja PSG sin opinión técnica del Gobierno del Estado conforme a protocolo y oficio DSA/156/2024.,MVZ Francis A. Genovés Chanona (SINIIGA),45450,45456,En Progreso,Cuarta Ordinaria
y9vrivbwbz,85,05-XVII-260825,"Estandarizar el formato de minutas y reportes futuros, incluyendo tablas de avances y benchmarks, para mejorar transparencia y coordinación interinstitucional. Responsable: M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY). Plazo: Inmediato, aplicable a próximas sesiones.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45895,45895,Cumplido,Décima séptima Ordinaria
yal1rredsz,34,02-VII-090724,Reunión de sensibilización sobre PSG y REEMO antes de visita.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45482,45877,Pendiente,Septima Ordinaraia
ydjg4kbtq0,56,04-XI-310325,Gobierno del estado asegura supervisión bimestral a centros expedidores REEMO.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45747,45777,En Progreso,Undécima Ordinaria
ypdl36ahxy,48,03-X-140225,Fecha de cierre del barrido: 28/02/25 para municipios específicos.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45702,45716,En Progreso,Décima Ordinaria
z60lvd7ys4,38,03-VIII-160724,Proceder con agenda de visitas validada.,MVZ Diana Susana García Hernández (SENASICA),45489,45881,En Progreso,Octava ORdinaria
z7j4we0l05,87,02-XVIII-11092025,"Monitorear el cumplimiento de requisitos homologados en movilizaciones interestatales, con reportes mensuales a SENASICA para evaluación de políticas públicas. MVZ Alfredo Colin, Inmediato.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45911,45911,Pendiente,Décima octáva Ordinaria
zkshj2jsx6,78,03-XVI-150825,"Incrementar personal para supervisiones PSG (al menos 5 capacitados) y auditar SINIIGA para corregir deficiencias (e.g., dobles PSG, investigación TIA). Determinar flujo de matanza en traspatio y plan de vigilancia/pruebas. Responsable: MVZ Francis A. Genovez Chanona (SINIIGA) y SENASICA. Plazo: Auditoría inicial antes del 21 de septiembre de 2025; plan implementado al 1 de enero de 2026.",MVZ Francis A. Genovés Chanona (SINIIGA),45884,45921,En Progreso,Décima sexta Ordinaria
zxmdhkv0t8,46,01-X-140225,Ratificar el grupo de trabajo con participantes específicos.,Completado,45702,,-,Décima Ordinaria
